1,   Transportation & Ticket Center (TTC),World Dr,2.71%,,,
2,   Epcot,Epcot Center Dr,2.42%,,,
3,   Disney's Contemporary Resort    , North World Dr.,2.29%,,,
4,   Magic Kingdom Monorail Station  , Lake Buena Vista,2.05%,,,
5,   Disney's Art Of Animation Resort    , Animation Way,2%,,,
6,   Disney's Pop Century Resort , Century Dr,1.99%,,,
7,   Disney's Port Orleans Riverside Resort  , Riverside Dr,1.83%,,,
8,   Disney's Caribbean Beach Resort , Cayman Way,1.82%,,,
9,   Disney's Grand Floridian Resort & Spa   , Floridian Way,1.72%,,,
10,  Disney's Hollywood Studios  , S Studio Dr,1.62%,,,
11,  Disney's Wilderness Lodge   , Timberline Drive,1.35%,,,
12,  Disney's Animal Kingdom , Osceola Pkwy,1.24%,,,
13,  Disney's Fort Wilderness Campground , Fort Wilderness,1.17%,,,
14,  Magic Kingdom Ferryboat , Lake Buena Vista,1.13%,,,
15,  Disney's Polynesian Resort , Seen Seas Dr,1.09%,,,
16,  Disney's Saratoga Springs Resort & Spa  , Broadway,1.02%,,,
17,  Disney's All-Star Sports Resort , W Buena Vista Dr,0.98%,,,
18,  Disney's Port Orleans French Quarter Resort , Orleans Dr,0.91%,,,
19,  Bay Lake Tower At Disney's Contemporary Resort  , N World Dr,0.85%,,,
20,  Villains Tram Pavillion , Transporation Ticket Center,0.84%,,,
21,  Disney's Beach Club Resort  , Epcot Resorts Boulevard,0.78%,,,
22,  Walt Disney Bus , Lake Buena Vista,0.70%,,,
23,  Disney's All-Star Movies Resort , West Buena Vista Drive,0.61%,,,
24,  Disney's Old Key West Resort    , North Cove Rd,0.61%,,,
25,  Disney's Animal Kingdom Lodge   , Osceola Parkway Blvd.,0.56%,,,
26,  Mickey's Gift Station   , CARIBBEAN Way,0.51%,,,
27,  Wyndham Grand Orlando Resort Bonnet Creek   , Chelonia Pkwy,0.50%,,,
28,  Disney's All-Star Music Resort  , West Buena Vista Drive,0.50%,,,
29,  Disney's Coronado Springs Resort    , West Buena Vista Drive,0.46%,,,
30,  Walt Disney World Swan Resort   , Epcot Resorts Blvd,0.44%,,,
31,  Shades Of Green , Magnolia Palm,0.43%,,,
32,  Disney's All-Star Sports Resort , West Buena Vista Dr.,0.42%,,,
33,  Walt Disney World Dolphin Resort    , Epcot Resorts Blvd,0.42%,,,
34,  Disney's Animal Kingdom Villas - Kidani Village , West Osceola Pkwy,0.40%,,,
35,  Rivers Of Light - Disney's Animal Kingdom,Asia,0.38%,,,
36,  Disney's Yacht Club Resort  , Epcot Resorts Blvd,0.37%,,,
37,  Center Court Buildings  , Disney's All-Star Sports Resort,0.36%,,,
38,  Buena Vista Palace  , E Buena Vista Dr,0.36%,,,
39,  Sheraton Vistana Resort , Vistana Centre Dr,0.33%,,,
40,  Lake Buena Vista Resort Village & Spa   , Resort Village Dr,0.32%,,,
41,  Hammock On The Beach At The Polynesian Resort   , Seven Seas Dr,0.32%,,,
42,  Ranchos , Orlando,0.31%,,,
43,  Disney's BoardWalk  , Epcot Resorts Boulevard,0.30%,,,
44,  Disney World Transportation And Ticket Center Tram  , Transportation Ticket Center,0.29%,,,
45,  Universal Orlando Resort    , Orlando,0.28%,,,
46,  Homerun Hotel Buildings , All Star Sports Resort,0.28%,,,
47,  Disney-Magic Kingdom Theme PK   , World Dr,0.27%,,,
48,  Fantasia Ballroom G-H   , Lake Buena Vista,0.27%,,,
49,  Town Center , E Buena Vista Drive,0.27%,,,
50,  Hoops Hotel Buildings   , All-Star Sports Resort,0.26%,,,
51,  Ticket And Transportation Center Monorail Station   , Lake Buena Vista,0.26%,,,
52,  Marketplace , East Buena Vista Drive,0.25%,,,
53,  Wyndham Lake Buena Vista Disney Springs Resort Area , Hotel Plaza Blvd,0.24%,,,
54,  Disney's BoardWalk  , Epcot Resorts Boulevard,0.24%,,,
55,  Walt Disney World -All Star Resort  , World Dr,0.24%,,,
56,  Orlando World Center Marriott   , World Center Drive,0.24%,,,
57,  The Villas At Disney's Grand Floridian Resort & Spa , Floridian Way,0.24%,,,
58,  Sheraton Vistana Villages - International Drive , International Dr,0.21%,,,
59,  Hyatt Regency Grand Cypress , Grand Cypress Blvd,0.21%,,,
60,  TTC Westgate , Walt Disney World,0.21%,,,
